title,domestic_revenue,distributor,budget,MPAA,genres,release_date
The Lodgers,"$7,362 ",Epic Pictures Group,N/A,R,"Drama,Horror,Romance,Thriller",23-Feb-18
Calling All Earthlings,"$6,756 ",Carpe Stella,N/A,N/A,"Documentary,History,Sci-Fi",29-Jun-18
Ex Libris: New York Public Library,"$158,192 ",Zipporah Films,N/A,N/A,Documentary,13-Sep-17
Shoah: Four Sisters,"$7,323 ",Cohen Media Group,N/A,N/A,"Documentary,History",14-Nov-18
This is Congo,"$7,051 ",Abramorama,N/A,N/A,"Documentary,History,War",29-Jun-18
In the Land of Pomegranates,"$7,014 ",First Run,N/A,N/A,Documentary,5-Jan-18
In Echo Park,"$7,072 ",Indican Pictures,N/A,N/A,"Crime,Drama",12-Oct-18
Painless,"$7,082 ",Indican Pictures,N/A,N/A,"Drama,Thriller",21-Sep-18
Spiral,"$8,190 ",Cohen Media Group,N/A,N/A,Documentary,22-Jun-18
Tall: The American Skyscraper and Louis Sullivan,"$7,216 ",The Cinema Guild,N/A,N/A,Documentary,19-Jan-18
The Clovehitch Killer,"$8,208 ",IFC Films,N/A,N/A,"Crime,Drama,Mystery,Thriller",16-Nov-18
Summer of '67,"$8,941 ",Mainstreet Productions,N/A,N/A,"Drama,History,Romance",29-Jun-18
Step Up: High Water,"$9,005 ",Fathom Events,N/A,N/A,"Drama,Music",30-Jan-18
Legend of the Mountain,"$7,640 ",Kino Lorber,N/A,N/A,"Fantasy,Horror,Mystery",2-Feb-18
Spettacolo,"$32,494 ",Grasshopper Film,N/A,N/A,Documentary,8-Sep-17
El Mar La Mar,"$9,065 ",The Cinema Guild,N/A,N/A,Documentary,23-Feb-18
Dark River,"$7,714 ",FilmRise,N/A,N/A,"Drama,Mystery,Thriller",29-Jun-18
Please Stand By,"$9,868 ",Magnolia Pictures,N/A,PG-13,"Comedy,Drama",26-Jan-18
Un traductor,"$13,509 ",Film Movement,N/A,N/A,Drama,19-Oct-18
Survivors Guide To Prison,"$8,982 ",Gravitas Ventures,N/A,N/A,Documentary,23-Feb-18
Beauty and the Dogs,"$8,915 ",Oscilloscope,N/A,N/A,"Crime,Drama,Thriller",23-Mar-18
Blood Feast,"$8,708 ",Hannover House,"$1,200,000 ",R,Horror,6-Apr-18
Dying to Know: Ram Dass & Timothy Leary,"$16,397 ",GathrFilms,N/A,N/A,"Biography,Documentary,History,News",23-Jan-17
Zoo Wars,"$8,998 ",Parade Deck Films,N/A,N/A,"Animation,Comedy,Sci-Fi",27-Apr-18
The Quest of Alain Ducasse,"$9,627 ",Magnolia Pictures,N/A,N/A,Documentary,8-Jun-18
River Runs Red,"$9,893 ",Cinedigm Entertainment Group,N/A,N/A,Thriller,9-Nov-18
Embrace: The Documentary,"$629,126 ",GathrFilms,N/A,N/A,Documentary,19-Sep-16
Heavy Trip,"$10,153 ",Music Box Films,N/A,N/A,"Comedy,Music",5-Oct-18
Wedding Party 2,"$11,140 ",IronFlix,N/A,N/A,Comedy,14-Feb-18
Furious,"$9,996 ",Carusel,N/A,N/A,"Action,Drama,History,War",20-Apr-18
Rendezvous in July,"$11,321 ",Rialto Pictures,N/A,N/A,"Comedy,Drama",1-Aug-18
Bullitt County,"$11,257 ",Mr. Pictures,N/A,N/A,"Action,Drama,Thriller",26-Oct-18
Sicilian Ghost Story,"$15,285 ",Strand Releasing,N/A,N/A,"Crime,Drama,Fantasy,Mystery,Romance",30-Nov-18
Class Rank,"$10,452 ",Cinedigm Entertainment Group,N/A,N/A,"Comedy,Family,Romance",11-May-18
Mama Africa,"$10,430 ",ArtMattan Productions,N/A,N/A,"Biography,Documentary,Music",19-Jan-18
The Samuel Project,"$161,565 ",in8 Releasing,N/A,PG-13,Drama,28-Sep-18
The Advocates,"$10,402 ",Cinema Libre Studio,N/A,N/A,Documentary,19-Oct-18
The Public Image is Rotten,"$11,293 ",Abramorama,N/A,N/A,Documentary,14-Sep-18
The Assassin's Code,"$11,218 ",Gravitas Ventures,N/A,N/A,"Action,Crime,Drama,Thriller",11-May-18
Les Parents Terribles,"$11,818 ",Cohen Media Group,N/A,N/A,Drama,25-May-18
Victoria & Abdul,"$22,245,070 ",Focus Features,N/A,PG-13,"Biography,Drama,History",N/A
The Most Unknown,"$12,119 ",Abramorama,N/A,N/A,Documentary,18-May-18
Souvenir,"$11,411 ",Strand Releasing,N/A,N/A,"Drama,Music,Romance",2-Mar-18
Head Full of Honey,"$12,350 ",Warner Bros.,N/A,PG-13,"Comedy,Drama",30-Nov-18
Tyrel,"$21,456 ",Magnolia Pictures,N/A,N/A,"Comedy,Drama",7-Dec-18
This is Our Land,"$11,567 ",Distrib Films,N/A,N/A,Drama,18-Apr-18
Hannah,"$11,700 ",Parade Deck Films,N/A,N/A,Drama,9-Mar-18
My Art,"$12,554 ",Film Movement,N/A,N/A,Drama,12-Jan-18
Return of the Hero,"$37,108 ",Distrib Films,N/A,N/A,"Comedy,History",30-Aug-18
Minding the Gap,"$11,998 ",Magnolia Pictures,N/A,N/A,Documentary,17-Aug-18
Quest,"$47,807 ",First Run,N/A,N/A,"Documentary,Family,Music",1-Dec-17
The Last Race,"$11,947 ",Magnolia Pictures,N/A,N/A,"Documentary,Sport",16-Nov-18
Novitiate,"$580,346 ",Sony Pictures Classics,N/A,R,Drama,27-Oct-17
American Chaos,"$12,368 ",Sony Pictures Classics,N/A,R,Documentary,14-Sep-18
American Socialist: The Life and Times of Eugene Victor Debs,"$12,609 ",First Run,N/A,N/A,Documentary,2-Mar-18
Let Yourself Go,"$12,189 ",Menemsha Films,N/A,N/A,Comedy,2-Mar-18
The Boy Downstairs,"$13,638 ",FilmRise,N/A,PG-13,"Comedy,Drama,Romance",16-Feb-18
Stavisky...,"$13,793 ",Rialto Pictures,N/A,N/A,"Biography,Drama",3-Oct-18
Like Me,"$12,965 ",Kino Lorber,N/A,N/A,"Crime,Drama,Horror",26-Jan-18
Here and Now,"$13,892 ",AMBI Distribution,N/A,R,"Drama,Music,Romance",9-Nov-18
"Lou Andreas-Salomé, The Audacity to be Free","$12,875 ",Cinema Libre Studio,N/A,N/A,"Biography,Drama,History,Romance",20-Apr-18
How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,"$12,954 ",Carusel,N/A,N/A,"Crime,Drama",23-Mar-18
Shed Skin Papa,"$13,331 ",China Lion Film Distribution,N/A,N/A,"Comedy,Drama",23-Mar-18
Our Blood is Wine,"$13,210 ",Music Box Films,N/A,N/A,Documentary,9-Mar-18
PGS: Intuition Is Your Personal Guidance System,"$35,423 ",GathrFilms,N/A,N/A,Documentary,16-Jan-18
A Prayer Before Dawn,"$14,453 ",A24,N/A,R,"Biography,Crime,Drama,Sport,Thriller",10-Aug-18
The Escape,"$14,018 ",IFC Films,N/A,N/A,Drama,11-May-18
Weed the People,"$13,926 ",Abramorama,N/A,N/A,Documentary,26-Oct-18
Chasing the Blues,"$14,030 ",Ammo Content,N/A,N/A,Comedy,5-Oct-18
The Lucky Man,"$25,015 ",Indican Pictures,N/A,N/A,"Action,Drama,Sci-Fi",21-Dec-17
Trust Machine: The Story of Blockchain,"$14,905 ",SingularDTV,N/A,N/A,Documentary,26-Oct-18
Thelma,"$147,391 ",The Orchard,N/A,N/A,"Drama,Fantasy,Horror,Mystery,Romance,Thriller",10-Nov-17
Ichi the Killer,"$20,285 ",Well Go USA Entertainment,N/A,R,"Action,Comedy,Crime,Drama,Horror,Thriller",10-Nov-17
Detour,"$16,172 ",Janus Films,N/A,N/A,"Crime,Drama,Film-Noir",30-Nov-18
Narcissister Organ Player,"$15,334 ",Film Movement,N/A,N/A,Documentary,7-Nov-18
Out on Stage,"$15,623 ",Fathom Events,N/A,N/A,Comedy,24-Jul-18
The Last Movie Star,"$14,410 ",A24,N/A,R,Drama,30-Mar-18
When You Read This Letter,"$15,552 ",Rialto Pictures,N/A,N/A,Drama,12-Sep-18
Bob le Flambeur,"$15,586 ",Rialto Pictures,N/A,N/A,"Crime,Drama,Thriller",5-Jan-18
The Charmer,"$26,167 ",Film Movement,N/A,N/A,"Drama,Romance,Thriller",5-Dec-18
"Intent to Destroy: Death, Denial & Depiction","$18,340 ",GathrFilms,N/A,N/A,"Documentary,History",4-Dec-17
Life and Nothing More,"$24,358 ",CFI Releasing,N/A,N/A,Drama,24-Oct-18
Heading Home: The Tale of Team Israel,"$207,533 ",Menemsha Films,N/A,N/A,"Comedy,Documentary,Drama,Sport",14-Dec-18
Just One Drop,"$60,078 ",GathrFilms,N/A,N/A,Documentary,22-Sep-17
